Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Control of Corruption: Estimate,Cooling Degree Days,Economic and Social Rights Performance Score,Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Fertility rate, total (births per woman)",Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Government Effectiveness: Estimate,"Government expenditure on education, total (% of government expenditure)",Heat Index 35,Heating Degree Days,Individuals using the Internet (% of population),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,"Life expectancy at birth, total (years)","Mammal species, threatened",Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Strength of legal rights index (0=weak to 12=strong),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Voice and Accountability: Estimate
Afghanistan,35.4,97.7,0.3359349346469567,0.3177320549902,58.741548226852494,33.597618872545105,43.01590668080594,0.2234788720070676,32.9304513537869,-1.18377649784088,1847.95,2.037372954,2.57,4.75,111.43,1.8527819940818424,-20.738839367634327,-1.87955236434937,,1.26,5842.72,18.4,38.5,30.8741594,62.575,11.0,0.4162460285182551,55.7,166821.0,0.1247910833175314,52.41704109,-2.5508017539978,2.41695301478831,61.480554405654445,30.1,27.0161290322581,6.98535794895538,-1.27180624008179,17.86,-1.65844225883484,110.007507324219,0.636020004749298,119.74,-2.570209825,10.0,3.6372565953286,26.0,15.378,-1.75158727169037
Albania,83.7,100.0,0.8011667301690784,0.140408155076948,41.47189781021898,18.6228214469268,2.921933085501859,1.5445501152457373,3.0231082827299,-0.407875537872314,809.79,2.344448263,2.41,1.4,105.4,28.791970802919707,4.856401652273064,0.0650628432631493,9.83377838134766,0.0,4050.92,82.61368583,71.367,19.4389756,76.989,3.0,0.9486748188504744,9.5,-9117.0,0.3577310593340237,18.63878032,0.114945493638515,15.822112678783,102.61554744525549,4.1,35.7142857142857,78.08310298443483,0.159353822469711,44.58,-0.16577909886837,95.6067123413086,1.02570998668671,167.16,-0.009599546,8.0,14.1751972700153,1686.0,11.083,0.13946570456028
Algeria,99.7,99.7878265380859,12.790533310571952,0.0,17.347004145287,11.585189679581635,87.15212945674402,3.718223370307596,12.9844112787695,-0.637929856777191,5135.0,2.258692342,5.32,2.942,111.22,0.8222276477585093,3.200001646707065,-0.513090252876282,13.1015062332153,16.6,911.47,70.77,45.641,38.6265931,74.453,14.0,1.991728547761552,22.3,-18797.0,0.2894882695637033,32.83308539,-0.741771519184113,6.01747007813233,18.548603311611128,2.5,8.10810810810811,25.098150442609978,-1.06357324123383,0.15,-0.832472681999207,108.343933105469,,5689.02,-1.79667229,2.0,4.40003633213823,20473.0,12.25,-1.00387418270111
Andorra,100.0,100.0,,,39.9068085106383,0.4956862745098039,,5.7771479922779925,,1.27020359039307,51.96,,,,,34.04255319148936,8.809579348417714,1.49530494213104,6.60595989227295,0.0,6728.18,93.89752157,,10.2783194,,2.0,0.6898450321750322,2.8,1474.0,0.0226359202059202,9.066401367,1.58773648738861,14.1949806949807,168.15744680851063,,46.4285714285714,,1.39833402633667,20.59,1.48544991016388,90.147346496582,,9.7,-0.578294765,,26.8572658896295,2.0,,1.10283291339874
Angola,50.0,48.2238540649414,23.269682921823303,0.739017315475802,36.81479104836769,13.649109462488305,0.4768243243243243,0.5927429677790373,59.1622729537789,-0.601941287517548,2896.69,1.518007393,2.7,5.371,124.09,52.98172238710194,3.0454030095492755,-1.04042935371399,6.64047193527222,0.0,65.46,32.60230173,76.156,30.3124645,62.261,18.0,0.9783044948550764,69.4,7557.0,0.5312196262792158,28.4208104,-0.646240890026093,2.58997520856912,27.67608406192348,21.6,33.6363636363636,93.59884738087888,-0.606698572635651,61.02,-1.02190458774567,88.5748672485352,,45.41,0.120742114,1.0,5.00470976181898,298294.0,14.223,-0.7971311211586
Antigua and Barbuda,100.0,100.0,,,20.454545454545457,1.954438733422172,8.461538461538462,5.121730121730122,9.83439461391756,0.310604453086853,5399.36,2.303735694,4.94,1.569,89.95,18.302954545454543,9.516395643594606,-0.159468576312065,10.2994956970215,0.0,0.0,95.66338947,,29.2124798,78.841,2.0,2.21084587326254,6.1,0.0,0.1269476064059397,17.59200058,0.94386225938797,9.80477855477855,211.86136363636365,,11.1111111111111,,0.28908696770668,0.72,0.391315579414368,112.12223815918,0.979240000247955,7.29,-2.046584309,5.0,0.381997432716486,39.0,,0.721560716629028
Arab World,88.09253583239398,90.8456612947772,4.5985059879188,0.0756855829815292,39.970742355345294,4.352708805481239,216.45971732075407,3.929077744470488,18.81814280691598,,,,5.154989442264183,3.186002778602424,,2.791120844538008,6.033833417471215,,,,,76.30907665103183,48.52028930820486,,70.92335958723314,248.0,1.4448354950664108,34.45451133110253,-1585167.0,0.2520800467675794,49.22713935383949,,4.355763402971967,34.84742727390488,12.286579556557866,18.24625886059333,31.664309864099565,,5.138584984174622,,89.5066223144531,0.953429996967316,80189.86000000002,,3.090909090909091,3.3350155142292617,,10.758283346138256,
Argentina,99.9,100.0,2.051994832551212,0.0,43.1023461553921,6.639898278402027,12.907534246575342,3.4056175404138016,17.5964944783087,-0.447030484676361,1419.49,2.319399605,3.38,1.911,109.39,10.400763952073492,4.956369960082355,-0.282877296209335,12.2848997116089,1.85,3440.88,88.37535691,68.413,25.254513,75.892,38.0,2.887726685131771,6.9,2344.0,1.125278568019495,13.51118918,-0.0091632818803191,11.7274541416082,16.738741691605554,3.2,44.7470817120623,71.48984039935317,-0.697565734386444,9.84,-0.48068231344223,110.156112670898,1.0242600440979,9729.75,-1.272038206,2.0,9.55264564367104,201882.0,6.841,0.543526768684387
Armenia,98.4,100.0,3.60601921463938,0.275814294335581,58.82753775904461,10.373136395612246,41.25965884239685,2.404683761951064,6.69449890981904,0.0280352365225554,261.94,2.33650349,4.02,1.575,83.87,11.530031612223391,12.600000000000009,-0.314229518175125,9.66730403900146,0.0,7471.92,78.61225758,72.719,16.6857796,72.173,9.0,0.826887297512696,10.7,-12825.0,0.4182979040550212,33.65637939,-0.797183930873871,12.407896540091,98.03210396909029,2.5,35.5140186915888,81.99267935578331,-0.0190788023173809,8.38,-0.168567225337029,92.9023818969727,1.02129995822906,599.38,-1.516648726,6.0,24.6810162414224,5.0,8.378,0.0882339403033257
Australia,100.0,100.0,6.2235952519426645,0.124411410868125,47.25923749548233,2.6755288076011663,1.75609756097561,14.776136906625878,4.94105432186094,1.76448953151703,3755.45,2.439727414,4.28,1.581,112.1,17.42131455716444,4.268946393498666,1.52887463569641,13.131422996521,8.22,961.09,96.24,79.521,33.6237594,83.2,63.0,5.126261916138827,3.7,117929.0,1.923324062366273,6.745497859,0.933572053909302,16.2335929179415,3.339228447143923,2.5,38.4105960264901,86.20433558006249,1.89489328861237,10.89,1.51008522510529,99.9291534423828,0.979290008544922,60890.77,0.33349076,11.0,32.1204150724308,261044.0,3.618,1.31948041915894
